순번,국립공원,사무소,관리지구,탐방지역,일자,전체 탐방객수
322,설악산,설악산,백담지구,남교리,2018.1.27,12
323,설악산,설악산,백담지구,백담,2018.1.27,120
324,설악산,설악산,점봉산,점봉산(곰배령),2018.1.27,173
325,설악산,설악산,설악동,설악동,2018.1.28,4822
326,설악산,설악산,설악동,설악동 야영장,2018.1.28,0
327,설악산,설악산,설악동,설악동 탐방안내소,2018.1.28,0
328,설악산,설악산,오색지구,남설악,2018.1.28,79
329,설악산,설악산,오색지구,약수터입구,2018.1.28,178
330,설악산,설악산,오색지구,용소폭포,2018.1.28,15
331,설악산,설악산,오색지구,흘림골,2018.1.28,0
332,설악산,설악산,장수대지구,장수대,2018.1.28,29
333,설악산,설악산,장수대지구,한계령,2018.1.28,89
334,설악산,설악산,백담지구,남교리,2018.1.28,3
335,설악산,설악산,백담지구,백담,2018.1.28,72
336,설악산,설악산,점봉산,점봉산(곰배령),2018.1.28,98
337,설악산,설악산,설악동,설악동,2018.1.29,1655
338,설악산,설악산,설악동,설악동 야영장,2018.1.29,0
339,설악산,설악산,설악동,설악동 탐방안내소,2018.1.29,0
340,설악산,설악산,오색지구,남설악,2018.1.29,3
341,설악산,설악산,오색지구,약수터입구,2018.1.29,30
342,설악산,설악산,오색지구,용소폭포,2018.1.29,8
343,설악산,설악산,오색지구,흘림골,2018.1.29,0
344,설악산,설악산,장수대지구,장수대,2018.1.29,8
345,설악산,설악산,장수대지구,한계령,2018.1.29,26
346,설악산,설악산,백담지구,남교리,2018.1.29,15
347,설악산,설악산,백담지구,백담,2018.1.29,25
348,설악산,설악산,점봉산,점봉산(곰배령),2018.1.29,0
349,설악산,설악산,설악동,설악동,2018.1.30,1959
350,설악산,설악산,설악동,설악동 야영장,2018.1.30,1
351,설악산,설악산,설악동,설악동 탐방안내소,2018.1.30,0
352,설악산,설악산,오색지구,남설악,2018.1.30,18
353,설악산,설악산,오색지구,약수터입구,2018.1.30,49
354,설악산,설악산,오색지구,용소폭포,2018.1.30,6
355,설악산,설악산,오색지구,흘림골,2018.1.30,0
356,설악산,설악산,장수대지구,장수대,2018.1.30,5
357,설악산,설악산,장수대지구,한계령,2018.1.30,17
358,설악산,설악산,백담지구,남교리,2018.1.30,18
359,설악산,설악산,백담지구,백담,2018.1.30,19
360,설악산,설악산,점봉산,점봉산(곰배령),2018.1.30,0
361,설악산,설악산,설악동,설악동,2018.1.31,1461
362,설악산,설악산,설악동,설악동 야영장,2018.1.31,0
363,설악산,설악산,설악동,설악동 탐방안내소,2018.1.31,0
364,설악산,설악산,오색지구,남설악,2018.1.31,13
365,설악산,설악산,오색지구,약수터입구,2018.1.31,73
366,설악산,설악산,오색지구,용소폭포,2018.1.31,13
367,설악산,설악산,오색지구,흘림골,2018.1.31,0
368,설악산,설악산,장수대지구,장수대,2018.1.31,5
369,설악산,설악산,장수대지구,한계령,2018.1.31,18
370,설악산,설악산,백담지구,남교리,2018.1.31,8
371,설악산,설악산,백담지구,백담,2018.1.31,64
372,설악산,설악산,점봉산,점봉산(곰배령),2018.1.31,25
373,설악산,설악산,설악동,설악동,2018.2.1,2982
374,설악산,설악산,설악동,설악동 야영장,2018.2.1,0
375,설악산,설악산,설악동,설악동 탐방안내소,2018.2.1,0
376,설악산,설악산,오색지구,남설악,2018.2.1,20
377,설악산,설악산,오색지구,약수터입구,2018.2.1,98
378,설악산,설악산,오색지구,용소폭포,2018.2.1,20
379,설악산,설악산,오색지구,흘림골,2018.2.1,0
380,설악산,설악산,장수대지구,장수대,2018.2.1,18
381,설악산,설악산,장수대지구,한계령,2018.2.1,69
382,설악산,설악산,백담지구,남교리,2018.2.1,23
383,설악산,설악산,백담지구,백담,2018.2.1,116
384,설악산,설악산,점봉산,점봉산(곰배령),2018.2.1,17
385,설악산,설악산,설악동,설악동,2018.2.2,3593
386,설악산,설악산,설악동,설악동 야영장,2018.2.2,24
387,설악산,설악산,설악동,설악동 탐방안내소,2018.2.2,0
388,설악산,설악산,오색지구,남설악,2018.2.2,37
389,설악산,설악산,오색지구,약수터입구,2018.2.2,98
390,설악산,설악산,오색지구,용소폭포,2018.2.2,14
391,설악산,설악산,오색지구,흘림골,2018.2.2,0
392,설악산,설악산,장수대지구,장수대,2018.2.2,12
393,설악산,설악산,장수대지구,한계령,2018.2.2,80
394,설악산,설악산,백담지구,남교리,2018.2.2,11
395,설악산,설악산,백담지구,백담,2018.2.2,95
396,설악산,설악산,점봉산,점봉산(곰배령),2018.2.2,2
397,설악산,설악산,설악동,설악동,2018.2.3,5543
398,설악산,설악산,설악동,설악동 야영장,2018.2.3,21
399,설악산,설악산,설악동,설악동 탐방안내소,2018.2.3,0
400,설악산,설악산,오색지구,남설악,2018.2.3,186
401,설악산,설악산,오색지구,약수터입구,2018.2.3,177
402,설악산,설악산,오색지구,용소폭포,2018.2.3,17
403,설악산,설악산,오색지구,흘림골,2018.2.3,0
404,설악산,설악산,장수대지구,장수대,2018.2.3,8
405,설악산,설악산,장수대지구,한계령,2018.2.3,292
406,설악산,설악산,백담지구,남교리,2018.2.3,26
407,설악산,설악산,백담지구,백담,2018.2.3,206
408,설악산,설악산,점봉산,점봉산(곰배령),2018.2.3,132
409,설악산,설악산,설악동,설악동,2018.2.4,4650
410,설악산,설악산,설악동,설악동 야영장,2018.2.4,3
411,설악산,설악산,설악동,설악동 탐방안내소,2018.2.4,0
412,설악산,설악산,오색지구,남설악,2018.2.4,60
413,설악산,설악산,오색지구,약수터입구,2018.2.4,136
414,설악산,설악산,오색지구,용소폭포,2018.2.4,6
415,설악산,설악산,오색지구,흘림골,2018.2.4,0
416,설악산,설악산,장수대지구,장수대,2018.2.4,91
417,설악산,설악산,장수대지구,한계령,2018.2.4,195
418,설악산,설악산,백담지구,남교리,2018.2.4,52
419,설악산,설악산,백담지구,백담,2018.2.4,176
420,설악산,설악산,점봉산,점봉산(곰배령),2018.2.4,24
421,설악산,설악산,설악동,설악동,2018.2.5,3192
422,설악산,설악산,설악동,설악동 야영장,2018.2.5,3
423,설악산,설악산,설악동,설악동 탐방안내소,2018.2.5,0
424,설악산,설악산,오색지구,남설악,2018.2.5,15
425,설악산,설악산,오색지구,약수터입구,2018.2.5,62
426,설악산,설악산,오색지구,용소폭포,2018.2.5,1
427,설악산,설악산,오색지구,흘림골,2018.2.5,0
428,설악산,설악산,장수대지구,장수대,2018.2.5,16
429,설악산,설악산,장수대지구,한계령,2018.2.5,32
430,설악산,설악산,백담지구,남교리,2018.2.5,3
431,설악산,설악산,백담지구,백담,2018.2.5,98
432,설악산,설악산,점봉산,점봉산(곰배령),2018.2.5,0
433,설악산,설악산,설악동,설악동,2018.2.6,3598
434,설악산,설악산,설악동,설악동 야영장,2018.2.6,0
435,설악산,설악산,설악동,설악동 탐방안내소,2018.2.6,0
436,설악산,설악산,오색지구,남설악,2018.2.6,24
437,설악산,설악산,오색지구,약수터입구,2018.2.6,64
438,설악산,설악산,오색지구,용소폭포,2018.2.6,4
439,설악산,설악산,오색지구,흘림골,2018.2.6,0
440,설악산,설악산,장수대지구,장수대,2018.2.6,137
441,설악산,설악산,장수대지구,한계령,2018.2.6,24
442,설악산,설악산,백담지구,남교리,2018.2.6,62
443,설악산,설악산,백담지구,백담,2018.2.6,67
444,설악산,설악산,점봉산,점봉산(곰배령),2018.2.6,0
445,설악산,설악산,설악동,설악동,2018.2.7,3436
446,설악산,설악산,설악동,설악동 야영장,2018.2.7,3
447,설악산,설악산,설악동,설악동 탐방안내소,2018.2.7,0
448,설악산,설악산,오색지구,남설악,2018.2.7,65
449,설악산,설악산,오색지구,약수터입구,2018.2.7,29
450,설악산,설악산,오색지구,용소폭포,2018.2.7,2
451,설악산,설악산,오색지구,흘림골,2018.2.7,0
452,설악산,설악산,장수대지구,장수대,2018.2.7,8
453,설악산,설악산,장수대지구,한계령,2018.2.7,34
454,설악산,설악산,백담지구,남교리,2018.2.7,4
455,설악산,설악산,백담지구,백담,2018.2.7,97
456,설악산,설악산,점봉산,점봉산(곰배령),2018.2.7,8
457,설악산,설악산,설악동,설악동,2018.2.8,2863
458,설악산,설악산,설악동,설악동 야영장,2018.2.8,0
459,설악산,설악산,설악동,설악동 탐방안내소,2018.2.8,0
460,설악산,설악산,오색지구,남설악,2018.2.8,13
461,설악산,설악산,오색지구,약수터입구,2018.2.8,67
462,설악산,설악산,오색지구,용소폭포,2018.2.8,2
463,설악산,설악산,오색지구,흘림골,2018.2.8,0
